year	heading2	count	weight
1811	Bekanntmachungen	3	0.0019120458891013384
1811	Berlin	9	0.0057361376673040155
1811	Bern	4	0.0025493945188017845
1811	Brüssel	3	0.0019120458891013384
1811	Börsen- und Handels-Nachrichten	0	0.0
1811	Deutsches Reich	0	0.0
1811	Deutschland	0	0.0
1811	England	0	0.0
1811	Frankreich	1	0.0006373486297004461
1811	Großbritannien und Irland	0	0.0
1811	Haag	0	0.0
1811	Hamburg	21	0.01338432122370937
1811	Handel und Verkehr	0	0.0
1811	Inhalt	0	0.0
1811	Inland	0	0.0
1811	Italien	3	0.0019120458891013384
1811	Konstantinopel	11	0.007010834926704908
1811	Kopenhagen	12	0.0076481835564053535
1811	Lissabon	7	0.004461440407903123
1811	Locales	0	0.0
1811	London	82	0.052262587635436585
1811	Madrid	5	0.0031867431485022306
1811	Main	0	0.0
1811	München	9	0.0057361376673040155
1811	Neueste Nachrichten	0	0.0
1811	New York	5	0.0031867431485022306
1811	Oesterreich	1	0.0006373486297004461
1811	Paris	71	0.04525175270873168
1811	Rom	6	0.0038240917782026767
1811	Schweiz	5	0.0031867431485022306
1811	Spanien	3	0.0019120458891013384
1811	St. Petersburg	111	0.07074569789674952
1811	Stockholm	18	0.011472275334608031
1811	Telegramme	0	0.0
1811	Telegraphische Coursberichte	0	0.0
1811	Telegraphische Witterungsberichte	0	0.0
1811	Theater	0	0.0
1811	Todes-Anzeige	13	0.0082855321861058
1811	Turin	2	0.0012746972594008922
1811	Tägliche Eisenbahnzüge	0	0.0
1811	Türkei	3	0.0019120458891013384
1811	Vermischtes	54	0.03441682600382409
1811	Wechsel-Course	0	0.0
1811	Wien	57	0.036328871892925434
1811	Witterungsbeobachtungen in Riga	0	0.0
1812	Abreisende	0	0.0
1812	Amerika	0	0.0
1812	Angekommene Fremde	75	0.05747126436781609
1812	Ausland	0	0.0
1812	Bekanntmachung	108	0.08275862068965517
1812	Bekanntmachungen	8	0.006130268199233717
1812	Berlin	18	0.013793103448275862
1812	Bern	2	0.0015325670498084292
1812	Brüssel	1	0.0007662835249042146
1812	Börsen- und Handels-Nachrichten	0	0.0
1812	Deutsches Reich	0	0.0
1812	Deutschland	0	0.0
1812	England	0	0.0
1812	Frankreich	1	0.0007662835249042146
1812	Großbritannien und Irland	0	0.0
1812	Haag	0	0.0
1812	Hamburg	3	0.0022988505747126436
1812	Handel und Verkehr	0	0.0
1812	Inhalt	0	0.0
1812	Inland	0	0.0
1812	Italien	1	0.0007662835249042146
1812	Konstantinopel	3	0.0022988505747126436
1812	Kopenhagen	16	0.012260536398467433
1812	Lissabon	7	0.0053639846743295016
1812	Locales	0	0.0
1812	London	68	0.05210727969348659
1812	Madrid	0	0.0
1812	Main	0	0.0
1812	München	1	0.0007662835249042146
1812	Neueste Nachrichten	0	0.0
1812	New York	5	0.0038314176245210726
1812	Oesterreich	1	0.0007662835249042146
1812	Paris	29	0.022222222222222223
1812	Rom	3	0.0022988505747126436
1812	Schweiz	2	0.0015325670498084292
1812	Spanien	3	0.0022988505747126436
1812	St. Petersburg	119	0.09118773946360154
1812	Stockholm	3	0.0022988505747126436
1812	Telegramme	0	0.0
1812	Telegraphische Coursberichte	0	0.0
1812	Telegraphische Witterungsberichte	0	0.0
1812	Theater	0	0.0
1812	Todes-Anzeige	17	0.013026819923371647
1812	Turin	1	0.0007662835249042146
1812	Tägliche Eisenbahnzüge	0	0.0
1812	Türkei	0	0.0
1812	Vermischtes	33	0.02528735632183908
1812	Wechsel-Course	0	0.0
1812	Wien	29	0.022222222222222223
1812	Witterungsbeobachtungen in Riga	0	0.0
1813	Abreisende	0	0.0
1813	Amerika	0	0.0
1813	Angekommene Fremde	78	0.05963302752293578
1813	Ausland	0	0.0
1813	Bekanntmachung	100	0.0764525993883792
1813	Bekanntmachungen	21	0.016055045871559634
1813	Berlin	94	0.07186544342507645
1813	Bern	0	0.0
1813	Brüssel	1	0.0007645259938837921
1813	Börsen- und Handels-Nachrichten	0	0.0
1813	Deutsches Reich	0	0.0
1813	Deutschland	0	0.0
1813	England	0	0.0
1813	Frankreich	1	0.0007645259938837921
1813	Großbritannien und Irland	0	0.0
1813	Haag	0	0.0
1813	Hamburg	31	0.023700305810397553
1813	Handel und Verkehr	0	0.0
1813	Inhalt	0	0.0
1813	Inland	0	0.0
1813	Italien	1	0.0007645259938837921
1813	Konstantinopel	0	0.0
1813	Kopenhagen	5	0.00382262996941896
1813	Lissabon	0	0.0
1813	Locales	0	0.0
1813	London	28	0.021406727828746176
1813	Madrid	0	0.0
1813	Main	6	0.0045871559633027525
1813	München	4	0.0030581039755351682
1813	Neueste Nachrichten	0	0.0
1813	New York	0	0.0
1813	Oesterreich	0	0.0
1813	Paris	16	0.012232415902140673
1813	Rom	0	0.0
1813	Schweiz	0	0.0
1813	Spanien	0	0.0
1813	St. Petersburg	55	0.04204892966360856
1813	Stockholm	1	0.0007645259938837921
1813	Telegramme	0	0.0
1813	Telegraphische Coursberichte	0	0.0
1813	Telegraphische Witterungsberichte	0	0.0
1813	Theater	0	0.0
1813	Todes-Anzeige	10	0.00764525993883792
1813	Turin	0	0.0
1813	Tägliche Eisenbahnzüge	0	0.0
1813	Türkei	0	0.0
1813	Vermischtes	73	0.05581039755351682
1813	Wechsel-Course	0	0.0
1813	Wien	23	0.017584097859327217
1813	Witterungsbeobachtungen in Riga	0	0.0
1814	Abreisende	0	0.0
1814	Amerika	0	0.0
1814	Angekommene Fremde	100	0.07905138339920949
1814	Ausland	0	0.0
1814	Bekanntmachung	120	0.09486166007905138
1814	Bekanntmachungen	13	0.010276679841897233
1814	Berlin	26	0.020553359683794466
1814	Bern	1	0.0007905138339920949
1814	Brüssel	25	0.019762845849802372
1814	Börsen- und Handels-Nachrichten	0	0.0
1814	Deutsches Reich	0	0.0
1814	Deutschland	0	0.0
1814	England	0	0.0
1814	Frankreich	4	0.0031620553359683794
1814	Großbritannien und Irland	0	0.0
1814	Haag	4	0.0031620553359683794
1814	Hamburg	12	0.009486166007905139
1814	Handel und Verkehr	0	0.0
1814	Inhalt	0	0.0
1814	Inland	0	0.0
1814	Italien	29	0.02292490118577075
1814	Konstantinopel	0	0.0
1814	Kopenhagen	13	0.010276679841897233
1814	Lissabon	2	0.0015810276679841897
1814	Locales	0	0.0
1814	London	55	0.043478260869565216
1814	Madrid	9	0.0071146245059288534
1814	Main	31	0.02450592885375494
1814	München	6	0.0047430830039525695
1814	Neueste Nachrichten	0	0.0
1814	New York	0	0.0
1814	Oesterreich	0	0.0
1814	Paris	86	0.06798418972332015
1814	Rom	8	0.006324110671936759
1814	Schweiz	7	0.005533596837944664
1814	Spanien	2	0.0015810276679841897
1814	St. Petersburg	37	0.02924901185770751
1814	Stockholm	4	0.0031620553359683794
1814	Telegramme	0	0.0
1814	Telegraphische Coursberichte	0	0.0
1814	Telegraphische Witterungsberichte	0	0.0
1814	Theater	0	0.0
1814	Todes-Anzeige	21	0.016600790513833993
1814	Turin	1	0.0007905138339920949
1814	Tägliche Eisenbahnzüge	0	0.0
1814	Türkei	0	0.0
1814	Vermischtes	68	0.05375494071146245
1814	Wechsel-Course	0	0.0
1814	Wien	50	0.039525691699604744
1814	Witterungsbeobachtungen in Riga	0	0.0
1815	Abreisende	0	0.0
1815	Amerika	0	0.0
1815	Angekommene Fremde	98	0.06786703601108034
1815	Ausland	0	0.0
1815	Bekanntmachung	136	0.09418282548476455
1815	Bekanntmachungen	16	0.0110803324099723
1815	Berlin	32	0.0221606648199446
1815	Bern	0	0.0
1815	Brüssel	65	0.045013850415512466
1815	Börsen- und Handels-Nachrichten	0	0.0
1815	Deutsches Reich	0	0.0
1815	Deutschland	0	0.0
1815	England	1	0.0006925207756232687
1815	Frankreich	8	0.00554016620498615
1815	Großbritannien und Irland	0	0.0
1815	Haag	19	0.013157894736842105
1815	Hamburg	6	0.004155124653739612
1815	Handel und Verkehr	0	0.0
1815	Inhalt	0	0.0
1815	Inland	0	0.0
1815	Italien	61	0.04224376731301939
1815	Konstantinopel	1	0.0006925207756232687
1815	Kopenhagen	9	0.006232686980609419
1815	Lissabon	1	0.0006925207756232687
1815	Locales	0	0.0
1815	London	92	0.06371191135734072
1815	Madrid	4	0.002770083102493075
1815	Main	71	0.04916897506925208
1815	München	2	0.0013850415512465374
1815	Neueste Nachrichten	0	0.0
1815	New York	0	0.0
1815	Oesterreich	4	0.002770083102493075
1815	Paris	119	0.08240997229916898
1815	Rom	5	0.0034626038781163434
1815	Schweiz	11	0.007617728531855956
1815	Spanien	0	0.0
1815	St. Petersburg	13	0.009002770083102494
1815	Stockholm	1	0.0006925207756232687
1815	Telegramme	0	0.0
1815	Telegraphische Coursberichte	0	0.0
1815	Telegraphische Witterungsberichte	0	0.0
1815	Theater	0	0.0
1815	Todes-Anzeige	24	0.01662049861495845
1815	Turin	2	0.0013850415512465374
1815	Tägliche Eisenbahnzüge	0	0.0
1815	Türkei	0	0.0
1815	Vermischtes	60	0.04155124653739612
1815	Wechsel-Course	0	0.0
1815	Wien	98	0.06786703601108034
1815	Witterungsbeobachtungen in Riga	0	0.0
1816	Abreisende	0	0.0
1816	Amerika	0	0.0
1816	Angekommene Fremde	104	0.07692307692307693
1816	Ausland	0	0.0
1816	Bekanntmachung	78	0.057692307692307696
1816	Bekanntmachungen	18	0.013313609467455622
1816	Berlin	28	0.020710059171597635
1816	Bern	0	0.0
1816	Brüssel	48	0.03550295857988166
1816	Börsen- und Handels-Nachrichten	0	0.0
1816	Deutsches Reich	0	0.0
1816	Deutschland	0	0.0
1816	England	0	0.0
1816	Frankreich	1	0.0007396449704142012
1816	Großbritannien und Irland	0	0.0
1816	Haag	17	0.01257396449704142
1816	Hamburg	7	0.005177514792899409
1816	Handel und Verkehr	0	0.0
1816	Inhalt	0	0.0
1816	Inland	0	0.0
1816	Italien	77	0.05695266272189349
1816	Konstantinopel	8	0.005917159763313609
1816	Kopenhagen	14	0.010355029585798817
1816	Lissabon	2	0.0014792899408284023
1816	Locales	0	0.0
1816	London	98	0.07248520710059171
